customer_id,customer_name,total_orders
C00006,Monica Herrera,3
C00079,Trevor Fisher,3
C00232,Michele Lewis,3
C00345,Sandra Jones,3
C00401,Patricia Johnson,3
C00470,William Ramos,3
C00013,Kimberly Burgess,2
C00032,Tammy Allison,2
C00043,Shawn Baker,2
C00066,Colleen Brock,2
C00116,April Booth,2
C00124,Kimberly Gibson,2
C00133,James Thomas,2
C00222,Jessica Ross,2
C00241,Travis Stone,2
C00268,Justin Michael,2
C00297,Shaun Cannon,2
C00332,Henry Pugh MD,2
C00449,Fernando Lynn,2
C00454,Matthew Greene,2
C00458,Rhonda Gutierrez,2
C00475,Madison Martinez,2
C00476,Seth Matthews,2
C00003,Cristian Santos,1
C00005,Gabrielle Davis,1
C00008,Dr. Sharon James,1
C00020,Linda Burns,1
C00026,Shannon Jones,1
C00028,Brent Jordan,1
C00033,Carmen Smith,1
C00034,Michael Cross,1
C00039,Michael Evans,1
C00042,Victoria Valdez,1
C00044,Michelle Harris,1
C00049,Stacey Russell,1
C00050,Rita Keith,1
C00071,Chris Reyes,1
C00080,Mrs. Marie Harrington DDS,1
C00095,Jesse Parker,1
C00107,Dennis Moody,1
C00112,Pamela Thompson,1
C00123,Mary Grimes,1
C00130,Stacy Freeman,1
C00139,Melissa Garner,1
C00157,Brianna Anderson,1
C00164,Larry Garcia,1
C00173,Kylie Morales,1
C00174,Cindy Barnes,1
C00175,Sophia Moore,1
C00177,Michael Watkins,1
C00183,Anita Richard,1
C00187,Justin Riley,1
C00196,Emily Douglas,1
C00197,James Conner,1
C00202,Cynthia Wallace,1
C00204,Douglas Reyes,1
C00211,Lisa Henderson,1
C00225,Mitchell Jackson,1
C00235,Michelle Ho,1
C00237,Stephen Jones,1
C00254,Chloe Tran,1
C00255,William Becker,1
C00259,Ronald Patel,1
C00275,Taylor Gentry,1
C00285,Tyler Mendoza,1
C00291,Jennifer Velasquez,1
C00293,Randy Cannon,1
C00296,Kimberly Patel,1
C00298,Austin Wheeler,1
C00301,Victoria Boyd,1
C00304,Paul Wells,1
C00305,Kristina Faulkner,1
C00313,Alexis Tran,1
C00314,Kelly Sanchez,1
C00315,Robert Jackson,1
C00318,Mark Peck,1
C00322,Judy Sanchez,1
C00330,Haley Davis,1
C00335,Brandon Jordan,1
C00336,Linda Mueller,1
C00361,Leslie Powers,1
C00368,Ashley Wilson,1
C00379,Frank Campbell MD,1
C00389,Bryce Blair,1
C00405,Cassidy Horne,1
C00407,Michael Williams,1
C00408,John Campbell,1
C00418,Christopher Owens,1
C00422,Krista Davis,1
C00425,Carl Stein,1
C00434,Rebecca Kelly,1
C00436,Sara Cochran,1
C00439,Patricia Mathis,1
C00440,Eric Taylor,1
C00443,Patricia Bradley,1
C00450,Kimberly Villanueva,1
C00461,Lisa Martinez,1
C00462,Beth Henderson,1
C00479,Alejandra King,1
C00483,Stephanie Evans,1
C00495,Jeffrey Jordan,1
